M10-R OUTPUTSPACE TRANSFER3P
STRING 0x420d34b7 ' IMG: -----ERROR------drv_img_b2y_set_operation_mode'
STRING 0x420d42a7 ' ------ERROR------    drv_img_b2y_set_tone_control1'
STRING 0x420d4404 'IMG: ----------ERROR----------- drv_img_b2y_set_wbgain1'
STRING 0x420d443c 'IMG: ----------ERROR----------- drv_img_b2y_set_wbgain2'
STRING 0x428336b7 'f------ERROR------  drv_img_b2y_set_interpolation_gamma_control() '

=== POINTER WORDS INTO TARGET STRINGS ===
PTRWORD 0x420d2634 -> 0x428336b8 'f------ERROR------  drv_img_b2y_set_interpolation_gamma_control() '

=== TRUE CODE REFS TO TARGET STRINGS ===
ADRREF 420d34a8: adr        r1, #0xc ; ADR=0x420d34b8 ' IMG: -----ERROR------drv_img_b2y_set_operation_mode'
ADRREF 420d42a4: adr        r0, #0 ; ADR=0x420d42a8 ' ------ERROR------    drv_img_b2y_set_tone_control1'
ADRREF 420d4394: adr        r1, #0x6c ; ADR=0x420d4404 'IMG: ----------ERROR----------- drv_img_b2y_set_wbgain1'
ADRREF 420d43ac: adr        r1, #0x8c ; ADR=0x420d443c 'IMG: ----------ERROR----------- drv_img_b2y_set_wbgain2'
LITREF 420d25fc: ldr        r1, [pc, #0x34] ; LIT 0x420d2634->0x428336b8 'f------ERROR------  drv_img_b2y_set_interpolation_gamma_control() '
DIRECTPTR 420d25fc: ldr        r1, [pc, #0x34] ; LIT 0x420d2634->0x428336b8 'f------ERROR------  drv_img_b2y_set_interpolation_gamma_control() '

=== OWNER FUNCTIONS OF STRING REFS ===

OWNER 0x420d3434 REF 0x420d34a8 NAME ' IMG: -----ERROR------drv_img_b2y_set_operation_mode'
420d3434: push       {r4, lr}
420d3436: movs       r4, r0
420d3438: ldrb       r0, [r4, #1]
420d343a: cmp        r0, #0
420d343c: bne        #0x420d345e
420d343e: ldrb       r0, [r4]
420d3440: cmp        r0, #0
420d3442: bne        #0x420d345e
420d3444: ldrb       r0, [r4, #2]
420d3446: cmp        r0, #0
420d3448: bne        #0x420d345e
420d344a: ldrb       r0, [r4, #3]
420d344c: cmp        r0, #0
420d344e: bne        #0x420d345e
420d3450: ldr        r0, [pc, #0x60] ; LIT 0x420d34b4->0x20022000
420d3452: ldr        r0, [r0, #0x58]
420d3454: lsrs       r0, r0, #4
420d3456: lsls       r0, r0, #4
